,0,1,2,3,4,_tempm,6,7,datetime_utc
58,0.7,0.056750742,0.870967742,0.991341991,0.428571429,0.09,0.777777778,0.181818182,08-10-1997 2.00
59,0.666666667,0.109770466,0.76344086,0.991341991,0.452380952,0.15,0.666666667,0.137592138,08-10-1997 17.00
60,0.6,0.057418398,0.623655914,0.99025974,0.476190476,0.2,0.694444444,0.046683047,11-10-1997 16.00
61,0.633333333,0.020864243,0.76344086,0.991341991,0.428571429,0.4,0,0.136363636,21-10-1997 16.00
62,0.55,0.028879995,0.88172043,0.995670996,0.321428571,0.12,0,0,30-10-1997 0.40
63,0.566666667,0.039253556,0.537634409,0.992424242,0.5,0.3,0,0,31-10-1997 10.40
64,0.533333333,0.033382789,0.935483871,0.992424242,0.285714286,0.05,0,0,07-11-1997 21.40
65,0.133333333,0.022799376,0.182795699,0.993506494,0.5,0.5,0.972222222,0.137592138,21-11-1997 8.40
66,0.433333333,0.021634074,1,0.992424242,0.19047619,0.11,0,0,11-12-1997 16.40
67,0.433333333,0.02146519,0.935483871,0.993506494,0.214285714,0.11,0.722222222,0.181818182,14-12-1997 12.40
68,0.266666667,0.02060388,0.752688172,0.995670996,0.166666667,0.2,0.833333333,0.137592138,01-01-1998 13.40
69,0.433333333,0.019173993,0.709677419,0.995670996,0.30952381,0.15,0.833333333,0.181818182,31-01-1998 13.40
70,0.133333333,0.018824966,0.279569892,0.993506494,0.380952381,0.5,0.777777778,0.319410319,07-02-1998 7.40
71,0.366666667,0.018611046,0.430107527,0.992424242,0.428571429,0.315,0.861111111,0.181818182,11-02-1998 11.40
72,0.383333333,0.018188835,0.811827957,0.99025974,0.226190476,0.12,0,0,20-02-1998 16.40
73,0.366666667,0.017654035,1,0.991341991,0.142857143,0.03,0.666666667,0.228501229,02-03-1998 0.40
74,0.566666667,0.017068569,0.817204301,0.981601732,0.357142857,0.2,0.805555556,0.636363636,12-03-1998 10.40
75,0.466666667,0.026706231,0.494623656,0.983766234,0.452380952,0.25,0.944444444,0.272727273,23-03-1998 15.40
76,0.433333333,0.006676558,0.376344086,0.983766234,0.523809524,0.15,0.722222222,0.319410319,13-04-1998 4.30
77,0.433333333,0.170252225,0.23655914,0.981601732,0.666666667,0.22,0.805555556,0.319410319,21-04-1998 4.30
78,0.6,0.130192878,0.440860215,0.980519481,0.595238095,0.12,0,0,12-05-1998 18.30
79,0.5,0.126854599,0.333333333,0.980519481,0.619047619,0.15,0.25,0.137592138,13-05-1998 20.30
80,0.733333333,0.584198813,0.322580645,0.974025974,0.80952381,0.6,0,0,18-05-1998 13.30
81,0.466666667,0.25037092,0.225806452,0.976190476,0.714285714,0.2,0,0,21-05-1998 16.30
82,0.7,0.423961424,0.365591398,0.977272727,0.738095238,0.5,0.25,0.272727273,15-06-1998 13.30
83,0.933333333,0.293768546,1,0.971320346,0.547619048,0.25,0.277777778,0.319410319,01-07-1998 23.30
84,0.933333333,0.377225519,0.935483871,0.977272727,0.571428571,0.35,0,0,18-07-1998 14.30
85,0.9,0.657640949,0.602150538,0.975108225,0.714285714,0.6,0.138888889,0.228501229,31-07-1998 10.30
86,0.9,0.166913947,1,0.974025974,0.523809524,0.1,0,0,17-08-1998 21.30
87,0.866666667,0.201965875,1,0.980519481,0.5,0.2,0.25,0.137592138,22-08-1998 22.30
